SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
CCTCCM201021|Rhchi_5202	CCTCCM201021|Rhchi_13512	0.008403	0.074999	0.112043	1197.788026	458.211974	6.955895	0.080490	1656
CCTCCM201021|Rhchi_5200	CCTCCM201021|Rhchi_13514	0.008906	0.041012	0.217152	338.864322	126.135678	9.108707	0.052844	465
CCTCCM201021|Rhchi_5208	CCTCCM201021|Rhchi_13508	0.032844	0.104788	0.313429	437.337289	147.662711	9.857988	0.153010	594
CCTCCM201021|Rhchi_5201	CCTCCM201021|Rhchi_13513	0.002204	0.090546	0.024345	908.627074	336.372926	5.265326	0.078217	1245
CCTCCM201021|Rhchi_5199	CCTCCM201021|Rhchi_13515	0.008931	0.079429	0.112446	1239.369504	404.630496	2.501533	0.078848	1644
CCTCCM201021|Rhchi_5209	CCTCCM201021|Rhchi_13507	0.143635	0.180802	0.794432	197.846215	66.153785	3.305996	0.458844	1221
CCTCCM201021|Rhchi_5205	CCTCCM201021|Rhchi_13509	0.043776	0.127146	0.344296	441.108870	140.891130	1.146844	0.191875	627
CCTCCM201021|Rhchi_5203	CCTCCM201021|Rhchi_13511	0.012374	0.080116	0.154456	1141.462735	430.537265	4.766850	0.092782	1617
CCTCCM201021|Rhchi_5198	CCTCCM201021|Rhchi_13516	0.013708	0.118032	0.116141	294.561456	131.438544	5.635226	0.137689	3597
CCTCCM201021|Rhchi_5204	CCTCCM201021|Rhchi_13510	0.006366	0.075883	0.083887	1105.107052	493.892948	9.464195	0.083514	1599
CCTCCM201021|Rhchi_5210	CCTCCM201021|Rhchi_13506	0.015447	0.070306	0.219714	327.895261	134.104739	5.399070	0.094114	462
CCTCCM201021|Rhchi_1610	CCTCCM201021|Rhchi_1550	0.010308	0.055796	0.184746	195.610480	74.389520	4.600000	0.068522	270
CCTCCM201021|Rhchi_1609	CCTCCM201021|Rhchi_1551	0.023632	0.090926	0.259906	2006.877785	1008.122215	12.892169	0.138399	3030
CCTCCM201021|Rhchi_1611	CCTCCM201021|Rhchi_1549	0.135730	0.207723	0.653419	544.409207	124.590793	1.346990	0.447413	816
CCTCCM201021|Rhchi_1608	CCTCCM201021|Rhchi_1552	0.005586	0.048607	0.114933	1078.025143	430.974857	10.868796	0.053619	1653
CCTCCM201021|Rhchi_722	CCTCCM201021|Rhchi_823	0.966092	2.234075	0.432435	888.154180	302.845820	1.304886	3.865539	1452
CCTCCM201021|Rhchi_2353	CCTCCM201021|Rhchi_7645	0.387319	0.542672	0.713726	1191.260035	428.739965	3.506818	1.285302	1764
CCTCCM201021|Rhchi_2352	CCTCCM201021|Rhchi_2370	0.011987	0.046414	0.258255	420.469985	155.530015	4.600000	0.063848	576
CCTCCM201021|Rhchi_2350	CCTCCM201021|Rhchi_2368	0.010929	0.088829	0.123035	276.500927	95.499073	4.600000	0.092782	372
CCTCCM201021|Rhchi_2351	CCTCCM201021|Rhchi_2369	0.004759	0.075695	0.062872	421.580748	127.419252	19.853400	0.063669	549
CCTCCM201021|Rhchi_2349	CCTCCM201021|Rhchi_2367	0.007225	0.067699	0.106727	974.953384	423.046616	10.458239	0.076575	1398
CCTCCM201021|Rhchi_1470	CCTCCM201021|Rhchi_2205	0.471923	2.917632	0.161749	1399.815236	460.184764	1.395809	3.231056	3426
CCTCCM201021|Rhchi_1472	CCTCCM201021|Rhchi_54	0.005236	0.089566	0.058462	767.108304	300.891696	8.911071	0.086984	1068
CCTCCM201021|Rhchi_1471	CCTCCM201021|Rhchi_55	0.014890	0.080528	0.184905	1088.830234	456.169766	16.332155	0.102810	1728
CCTCCM201021|Rhchi_6270	CCTCCM201021|Rhchi_5326	0.941955	4.331054	0.217489	1156.939744	322.060256	1.201100	5.039850	1869
CCTCCM201021|Rhchi_6273	CCTCCM201021|Rhchi_7196	0.010157	0.045555	0.222953	694.223710	274.776290	4.681671	0.060583	1428
CCTCCM201021|Rhchi_6274	CCTCCM201021|Rhchi_7195	0.004308	0.045669	0.094323	1164.065424	548.934576	15.338003	0.052686	1896
CCTCCM201021|Rhchi_111	CCTCCM201021|Rhchi_3553	0.012239	0.090226	0.135653	659.494662	348.505338	10.432309	0.117607	1515
CCTCCM201021|Rhchi_110	CCTCCM201021|Rhchi_3552	0.017444	0.089882	0.194077	1394.777055	576.222945	6.436152	0.115864	1974
CCTCCM201021|Rhchi_1747	CCTCCM201021|Rhchi_4272	0.027349	0.087863	0.311265	561.846072	272.153928	13.465811	0.141288	834
CCTCCM201021|Rhchi_1746	CCTCCM201021|Rhchi_4273	0.020533	0.087491	0.234694	1001.372253	405.627747	9.107726	0.119510	1596
CCTCCM201021|Rhchi_1748	CCTCCM201021|Rhchi_4271	0.003608	0.084457	0.042717	277.844193	100.155807	4.600000	0.075090	717
CCTCCM201021|Rhchi_13330	CCTCCM201021|Rhchi_13315	0.004701	0.090681	0.051839	853.596700	304.403300	4.600000	0.081907	1158
CCTCCM201021|Rhchi_13327	CCTCCM201021|Rhchi_10467	0.540567	3.618764	0.149379	484.411128	124.588872	0.660643	3.510909	1260
CCTCCM201021|Rhchi_13328	CCTCCM201021|Rhchi_13312	0.006013	0.117408	0.051214	834.879063	293.120937	3.080172	0.104880	1128
CCTCCM201021|Rhchi_13324	CCTCCM201021|Rhchi_7128	0.011800	0.081292	0.145162	342.179293	116.820707	5.854307	0.088460	459
CCTCCM201021|Rhchi_13320	CCTCCM201021|Rhchi_7132	0.019480	0.062927	0.309570	886.064539	367.935461	18.260328	0.096684	1575
CCTCCM201021|Rhchi_13336	CCTCCM201021|Rhchi_12165	0.008786	0.082397	0.106625	1890.791563	755.208437	7.088263	0.089387	2661
CCTCCM201021|Rhchi_13334	CCTCCM201021|Rhchi_12167	0.027704	0.099222	0.279209	849.340405	341.659595	8.906986	0.144660	1191
CCTCCM201021|Rhchi_13333	CCTCCM201021|Rhchi_13318	0.011149	0.085455	0.130466	496.997099	145.002901	2.548683	0.083795	642
CCTCCM201021|Rhchi_13319	CCTCCM201021|Rhchi_7133	0.009352	0.068960	0.135611	430.398222	136.601778	4.600000	0.071138	567
CCTCCM201021|Rhchi_13325	CCTCCM201021|Rhchi_7127	0.014929	0.086983	0.171636	1627.454857	859.545143	18.128993	0.119497	2547
CCTCCM201021|Rhchi_13326	CCTCCM201021|Rhchi_7126	0.028540	0.088770	0.321500	893.080003	306.919997	4.635146	0.131834	1212
