SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Calth2|Calth2p4_000004	Calth2|Calth2p4_005184	0.797776	3.956721	0.201625	641.486801	195.513199	1.139207	4.607003	1167
Calth2|Calth2p4_000005	Calth2|Calth2p4_007621	0.452167	2.124553	0.212829	350.215235	123.784765	2.486998	2.666729	1704
Calth2|Calth2p4_000011	Calth2|Calth2p4_007807	0.690843	4.489077	0.153894	1150.404377	397.595623	1.226417	4.999197	1743
Calth2|Calth2p4_000013	Calth2|Calth2p4_007808	0.469493	4.683212	0.100250	709.361626	253.638374	1.595666	4.737952	1125
Calth2|Calth2p4_000014	Calth2|Calth2p4_009698	0.161158	3.222399	0.050012	175.555386	73.444614	2.890193	3.192289	255
Calth2|Calth2p4_000015	Calth2|Calth2p4_007773	0.671048	3.391474	0.197863	1727.671461	582.328539	1.586197	4.070523	2637
Calth2|Calth2p4_000018	Calth2|Calth2p4_011302	0.059758	4.012280	0.014894	689.453601	210.546399	1.699012	2.953238	900
Calth2|Calth2p4_000019	Calth2|Calth2p4_004392	0.706859	4.654967	0.151850	1597.977055	496.022945	0.951460	4.926239	2808
Calth2|Calth2p4_000021	Calth2|Calth2p4_000801	0.791193	2.409969	0.328300	1050.878483	362.121517	1.480244	3.618152	1689
Calth2|Calth2p4_000027	Calth2|Calth2p4_000865	0.621717	2.669222	0.232921	1028.646803	336.353197	1.260290	3.378744	1449
Calth2|Calth2p4_000028	Calth2|Calth2p4_004575	0.197257	4.544066	0.043410	1525.157590	427.842410	1.330373	3.448528	1989
Calth2|Calth2p4_000032	Calth2|Calth2p4_000047	0.398941	2.032283	0.196302	1366.814683	445.185317	1.826874	2.400698	1947
Calth2|Calth2p4_000034	Calth2|Calth2p4_009864	0.515835	4.556162	0.113217	1833.201513	434.798487	1.457725	3.871218	2442
Calth2|Calth2p4_000037	Calth2|Calth2p4_010069	0.753366	3.894829	0.193427	692.973232	180.026768	0.946518	4.203560	1068
Calth2|Calth2p4_000041	Calth2|Calth2p4_000237	0.022225	3.403749	0.006530	342.504815	77.495185	0.543802	1.938474	420
Calth2|Calth2p4_000057	Calth2|Calth2p4_009742	0.693540	2.142771	0.323665	773.070811	288.929189	1.878857	3.263459	1269
Calth2|Calth2p4_000059	Calth2|Calth2p4_001806	0.384913	3.862208	0.099661	565.635572	172.364428	1.310354	3.591170	807
Calth2|Calth2p4_000060	Calth2|Calth2p4_002338	0.438380	1.197398	0.366110	429.298405	164.701595	3.253144	1.946510	1155
Calth2|Calth2p4_000061	Calth2|Calth2p4_000765	0.626486	1.988663	0.315029	1207.129408	421.870592	1.803935	2.937768	1875
Calth2|Calth2p4_000063	Calth2|Calth2p4_001013	0.361126	4.253206	0.084907	969.692375	290.307625	1.397600	3.773618	1296
Calth2|Calth2p4_000067	Calth2|Calth2p4_001352	0.390663	4.250548	0.091909	976.719355	289.280645	1.207650	3.817938	2895
Calth2|Calth2p4_000073	Calth2|Calth2p4_009729	0.628694	3.892461	0.161516	666.540707	179.459293	1.505441	3.963079	1116
Calth2|Calth2p4_000074	Calth2|Calth2p4_009730	0.303614	3.727387	0.081455	491.994826	144.005174	1.243657	3.236507	669
Calth2|Calth2p4_000077	Calth2|Calth2p4_006821	0.622870	4.491143	0.138689	1200.307607	398.692393	1.075187	4.762139	2541
Calth2|Calth2p4_000078	Calth2|Calth2p4_002776	0.509999	2.121411	0.240406	578.920331	225.079669	1.520271	2.883341	1098
