SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
AYI68|AYI68_g4	AYI68|AYI68_g1096	0.667026	4.400642	0.151575	1590.627452	353.372548	0.935343	4.037123	3132
AYI68|AYI68_g6	AYI68|AYI68_g4492	0.056474	0.114784	0.492000	285.197139	110.802861	3.262253	0.218369	459
AYI68|AYI68_g14	AYI68|AYI68_g15	0.286843	4.225619	0.067882	1046.176612	279.823388	2.035596	3.354107	1422
AYI68|AYI68_g16	AYI68|AYI68_g3811	0.541599	3.132472	0.172898	1048.102634	253.897366	1.465834	3.140500	1764
AYI68|AYI68_g20	AYI68|AYI68_g2535	0.290632	0.349981	0.830423	313.599299	127.400701	5.165775	0.923333	471
AYI68|AYI68_g25	AYI68|AYI68_g1760	0.058792	0.236123	0.248990	142.028093	61.971907	4.668471	0.337988	435
AYI68|AYI68_g27	AYI68|AYI68_g28	0.697996	4.127917	0.169091	951.354370	245.645630	0.763814	4.205629	1443
AYI68|AYI68_g29	AYI68|AYI68_g1264	0.520252	4.248568	0.122453	1046.482151	288.517849	1.300704	3.978026	1410
AYI68|AYI68_g31	AYI68|AYI68_g4138	0.769562	4.737585	0.162438	2341.213064	553.786936	1.949547	4.585825	3282
AYI68|AYI68_g32	AYI68|AYI68_g121	0.805167	4.143570	0.194317	805.174012	250.825988	1.417527	4.794360	1848
AYI68|AYI68_g34	AYI68|AYI68_g312	0.703307	4.371760	0.160875	1225.976917	340.023083	1.425420	4.499498	1695
AYI68|AYI68_g42	AYI68|AYI68_g2213	0.184193	0.480350	0.383456	335.154823	138.845177	4.801044	0.812833	480
AYI68|AYI68_g45	AYI68|AYI68_g1210	0.586671	3.921426	0.149607	596.474516	186.525484	1.655281	4.143219	906
AYI68|AYI68_g48	AYI68|AYI68_g5598	0.096327	0.295178	0.326334	138.381593	44.618407	2.198573	0.434429	201
AYI68|AYI68_g55	AYI68|AYI68_g1669	0.698167	4.535930	0.153919	1967.773675	423.226325	1.044482	4.132447	3042
AYI68|AYI68_g61	AYI68|AYI68_g8156	0.517388	4.036326	0.128183	623.238268	189.761732	1.585184	4.016223	840
AYI68|AYI68_g63	AYI68|AYI68_g5006	0.000000	0.000000	99.000000	190.888525	64.111475	4.600000	0.000000	255
AYI68|AYI68_g72	AYI68|AYI68_g1832	0.495830	0.725357	0.683568	167.456780	51.543220	2.032942	1.649553	330
AYI68|AYI68_g83	AYI68|AYI68_g1702	0.007172	0.052262	0.137226	140.297828	39.702172	4.600000	0.051351	198
AYI68|AYI68_g85	AYI68|AYI68_g4077	0.068237	0.169492	0.402600	361.299477	145.700523	3.749465	0.292007	510
AYI68|AYI68_g86	AYI68|AYI68_g1000	0.335547	2.835831	0.118324	447.559042	131.440958	1.534579	2.709438	612
AYI68|AYI68_g87	AYI68|AYI68_g1934	0.149275	0.193038	0.773294	426.186027	158.813973	2.330587	0.483466	975
AYI68|AYI68_g88	AYI68|AYI68_g2533	0.088991	0.141780	0.627669	216.152980	110.847020	11.128431	0.320655	522
AYI68|AYI68_g91	AYI68|AYI68_g8140	0.551253	4.204498	0.131110	957.946787	272.053213	1.226553	4.077850	1320
AYI68|AYI68_g92	AYI68|AYI68_g1267	0.511344	4.118738	0.124151	882.342522	242.657478	1.935665	3.868329	1356
AYI68|AYI68_g94	AYI68|AYI68_g1447	0.844526	4.659692	0.181241	1975.842261	499.157739	1.376189	4.841904	3381
AYI68|AYI68_g102	AYI68|AYI68_g8255	0.681801	4.345749	0.156889	1324.567295	328.432705	1.317174	4.229361	3291
AYI68|AYI68_g104	AYI68|AYI68_g2594	0.131761	0.315158	0.418078	115.964227	43.035773	3.104466	0.544200	219
AYI68|AYI68_g108	AYI68|AYI68_g6875	0.631262	4.225835	0.149382	890.095978	279.904022	1.824781	4.473621	1212
AYI68|AYI68_g111	AYI68|AYI68_g768	0.674978	4.593418	0.146945	1853.057863	456.942137	1.230082	4.350259	4281
AYI68|AYI68_g113	AYI68|AYI68_g7461	0.869586	5.302435	0.163998	5432.954582	1176.045418	1.189856	4.975182	9483
