SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Absrep1|Absrep1_100001	Absrep1|Absrep1_494459	0.088363	0.090564	0.975699	324.800789	119.199211	1.817867	0.266862	444
Absrep1|Absrep1_100091	Absrep1|Absrep1_494233	0.205341	0.897831	0.228708	289.553142	82.446858	1.450536	1.076455	669
Absrep1|Absrep1_100536	Absrep1|Absrep1_356359	0.142891	0.892782	0.160051	277.166495	94.833505	3.058424	1.002180	372
Absrep1|Absrep1_100629	Absrep1|Absrep1_495917	0.301854	2.227440	0.135516	235.781588	82.218412	1.937794	2.399134	1929
Absrep1|Absrep1_100650	Absrep1|Absrep1_494334	0.585298	1.736577	0.337042	1558.622498	421.377502	1.455021	2.490930	2160
Absrep1|Absrep1_100706	Absrep1|Absrep1_222142	0.152919	2.223539	0.068773	531.181722	158.818278	1.844180	1.888549	2271
Absrep1|Absrep1_100707	Absrep1|Absrep1_7216	0.105501	1.372991	0.076841	1271.155121	369.844879	1.108713	1.173496	2832
Absrep1|Absrep1_101151	Absrep1|Absrep1_357616	0.294709	3.112662	0.094681	1376.271983	405.728017	1.139237	2.808912	1860
Absrep1|Absrep1_101180	Absrep1|Absrep1_487798	0.323376	3.454086	0.093621	451.494219	139.505781	1.112718	3.187144	690
Absrep1|Absrep1_10142	Absrep1|Absrep1_139120	0.323614	1.440524	0.224650	1400.333285	465.666715	1.593323	1.807029	2301
Absrep1|Absrep1_101446	Absrep1|Absrep1_467696	0.239581	1.326933	0.180552	530.464909	141.535091	1.322754	1.405789	699
Absrep1|Absrep1_101685	Absrep1|Absrep1_411955	0.644992	3.619671	0.178191	451.260422	124.739578	1.002811	3.867581	1131
Absrep1|Absrep1_102655	Absrep1|Absrep1_41090	0.194161	1.401916	0.138497	2705.796137	885.203863	1.816984	1.475639	4176
Absrep1|Absrep1_102780	Absrep1|Absrep1_409528	0.347941	2.736094	0.127167	1044.151819	332.848181	1.933436	2.775616	1719
Absrep1|Absrep1_102916	Absrep1|Absrep1_448329	0.400645	1.351371	0.296473	1663.961621	613.038379	2.240303	1.969829	2379
Absrep1|Absrep1_102931	Absrep1|Absrep1_369224	0.111480	1.412544	0.078921	1715.882546	588.117454	2.048969	1.330765	2334
Absrep1|Absrep1_10336	Absrep1|Absrep1_328612	0.068337	3.012931	0.022681	2102.091271	630.908729	1.714858	2.244276	2958
Absrep1|Absrep1_103381	Absrep1|Absrep1_425754	0.007303	0.343671	0.021251	275.226803	90.773197	2.289444	0.272182	378
Absrep1|Absrep1_103643	Absrep1|Absrep1_314128	0.436671	2.047195	0.213302	680.192747	204.807253	1.760668	2.428138	939
Absrep1|Absrep1_104863	Absrep1|Absrep1_413170	0.191857	2.923804	0.065619	151.364807	67.635193	8.766836	3.106745	336
Absrep1|Absrep1_105000	Absrep1|Absrep1_447677	0.231589	2.012390	0.115082	733.383608	223.616392	1.850199	1.943095	2106
Absrep1|Absrep1_105109	Absrep1|Absrep1_366363	0.463979	2.894080	0.160320	2337.632978	686.367022	1.428651	3.046641	3384
Absrep1|Absrep1_105602	Absrep1|Absrep1_116930	0.216538	1.641056	0.131950	438.355626	125.644374	1.612587	1.601648	693
Absrep1|Absrep1_105856	Absrep1|Absrep1_360940	0.000000	0.990079	0.000010	205.048299	70.951701	2.335003	0.763563	276
Absrep1|Absrep1_105864	Absrep1|Absrep1_416262	0.191715	1.912880	0.100223	1266.804964	428.195036	2.323693	1.879560	1890
Absrep1|Absrep1_106072	Absrep1|Absrep1_353073	0.000000	0.204711	0.000010	269.753944	117.246056	12.190655	0.186058	387
