SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Zycmex1|Zycmex1_100054	Zycmex1|Zycmex1_832135	0.750638	1.872250	0.400928	670.727856	235.272144	1.313285	3.125702	1584
Zycmex1|Zycmex1_101312	Zycmex1|Zycmex1_849453	0.381106	4.258791	0.089487	913.522593	292.477407	1.367204	3.964550	1287
Zycmex1|Zycmex1_10251	Zycmex1|Zycmex1_868628	0.012241	1.782361	0.006868	329.526182	66.473818	0.669410	0.928137	483
Zycmex1|Zycmex1_102574	Zycmex1|Zycmex1_796129	0.453389	4.197299	0.108019	921.545661	269.454339	1.391505	3.901256	1518
Zycmex1|Zycmex1_103157	Zycmex1|Zycmex1_952753	0.356370	3.769142	0.094549	516.750215	152.249785	1.423459	3.399128	702
Zycmex1|Zycmex1_107141	Zycmex1|Zycmex1_878273	0.298506	2.920376	0.102215	1124.870899	399.129101	1.249620	2.955489	1581
Zycmex1|Zycmex1_107186	Zycmex1|Zycmex1_875208	0.741256	1.815194	0.408362	1239.751385	440.248615	1.667640	3.068054	1797
Zycmex1|Zycmex1_108898	Zycmex1|Zycmex1_815358	0.615919	1.699500	0.362412	554.449016	219.550984	1.877253	2.769855	909
Zycmex1|Zycmex1_109058	Zycmex1|Zycmex1_844527	0.739766	2.734685	0.270512	584.077994	192.922006	1.334304	3.705258	951
Zycmex1|Zycmex1_109117	Zycmex1|Zycmex1_761106	0.410678	4.138396	0.099236	893.898116	249.101884	1.230476	3.669257	1977
Zycmex1|Zycmex1_109360	Zycmex1|Zycmex1_940488	0.548486	3.777488	0.145199	464.046488	153.953512	1.784671	4.058643	1047
Zycmex1|Zycmex1_10954	Zycmex1|Zycmex1_788069	0.165882	0.147199	1.126923	637.945203	226.054797	2.885130	0.482980	1107
Zycmex1|Zycmex1_109555	Zycmex1|Zycmex1_866813	0.771748	3.765425	0.204956	454.502827	151.497173	1.292301	4.560460	933
Zycmex1|Zycmex1_109952	Zycmex1|Zycmex1_873462	0.574559	2.209917	0.259991	2241.829132	752.170868	1.447975	2.956211	3678
Zycmex1|Zycmex1_11062	Zycmex1|Zycmex1_605907	0.226501	2.188974	0.103474	827.458192	279.541808	1.419695	2.166206	1125
Zycmex1|Zycmex1_111140	Zycmex1|Zycmex1_632176	0.009578	0.018862	0.507781	525.664209	161.335791	1.884679	0.035275	1635
Zycmex1|Zycmex1_111427	Zycmex1|Zycmex1_871316	0.215904	1.002624	0.215339	1104.669473	506.330527	12.826243	1.389500	1698
Zycmex1|Zycmex1_112431	Zycmex1|Zycmex1_760643	0.536341	4.738307	0.113192	1827.679343	554.320657	1.164228	4.542570	3033
Zycmex1|Zycmex1_113032	Zycmex1|Zycmex1_85384	0.026631	0.008469	3.144523	382.252801	118.747199	1.630208	0.066978	501
Zycmex1|Zycmex1_113945	Zycmex1|Zycmex1_785279	0.940794	4.509565	0.208622	1292.393181	408.606819	1.010191	5.394206	2262
Zycmex1|Zycmex1_115030	Zycmex1|Zycmex1_818889	0.530968	4.528662	0.117246	1416.855527	419.144473	1.115364	4.330831	2127
Zycmex1|Zycmex1_115676	Zycmex1|Zycmex1_774548	0.087223	0.243411	0.358335	358.357449	106.642551	1.443504	0.369128	654
Zycmex1|Zycmex1_116342	Zycmex1|Zycmex1_835738	0.347284	1.278100	0.271719	405.413297	137.586703	1.736989	1.749410	648
Zycmex1|Zycmex1_116575	Zycmex1|Zycmex1_785927	0.003093	0.007052	0.438546	648.020556	284.979444	4.600000	0.012906	1881
Zycmex1|Zycmex1_118285	Zycmex1|Zycmex1_755377	0.573875	4.418042	0.129893	1258.333353	361.666647	1.249110	4.296267	1824
Zycmex1|Zycmex1_118544	Zycmex1|Zycmex1_755031	0.442397	1.858906	0.237988	785.397761	306.602239	1.813184	2.520337	1740
Zycmex1|Zycmex1_119631	Zycmex1|Zycmex1_885013	0.365600	1.650271	0.221539	747.092725	236.907275	1.246546	2.024690	1152
