SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Kircor1|Kircor1_100311	Kircor1|Kircor1_325105	0.038314	0.765252	0.050067	1325.808538	333.191462	0.947059	0.552933	1662
Kircor1|Kircor1_100828	Kircor1|Kircor1_373145	0.458338	4.396204	0.104258	1292.712551	351.287449	1.265697	3.899326	1980
Kircor1|Kircor1_1011	Kircor1|Kircor1_278875	0.123166	2.144409	0.057436	742.373683	241.626317	2.478384	1.858478	1062
Kircor1|Kircor1_101766	Kircor1|Kircor1_365624	0.066837	0.452280	0.147779	803.512103	246.487897	2.423088	0.471960	1785
Kircor1|Kircor1_101895	Kircor1|Kircor1_380155	0.038624	0.056014	0.689538	930.495100	374.504900	4.931574	0.130844	1974
Kircor1|Kircor1_102515	Kircor1|Kircor1_331401	0.211561	3.218320	0.065737	1270.132974	379.867026	1.195947	2.711354	1770
Kircor1|Kircor1_102669	Kircor1|Kircor1_7504	0.336369	1.061536	0.316870	393.349190	119.650810	2.456999	1.516515	2160
Kircor1|Kircor1_103092	Kircor1|Kircor1_424792	0.178766	0.446363	0.400496	374.861974	117.138026	2.181939	0.727431	627
Kircor1|Kircor1_103461	Kircor1|Kircor1_459805	0.194446	1.348271	0.144219	216.085114	71.914886	2.058836	1.447683	1230
Kircor1|Kircor1_103941	Kircor1|Kircor1_147050	0.230819	4.608290	0.050088	1675.906073	466.093927	1.476168	3.550037	2301
Kircor1|Kircor1_104033	Kircor1|Kircor1_405607	0.586984	1.614932	0.363473	453.660636	149.339364	2.000951	2.524699	885
Kircor1|Kircor1_104177	Kircor1|Kircor1_407979	0.637204	3.644535	0.174838	847.212715	244.787285	1.547274	3.934020	1716
Kircor1|Kircor1_104273	Kircor1|Kircor1_377691	0.695022	3.920999	0.177256	786.907484	245.092516	1.255197	4.383503	1389
Kircor1|Kircor1_105311	Kircor1|Kircor1_441741	0.217575	2.782573	0.078192	190.142195	40.857805	0.945908	2.013766	2208
Kircor1|Kircor1_105514	Kircor1|Kircor1_387172	0.225312	1.726158	0.130528	1133.024131	324.975869	1.928570	1.679514	3993
Kircor1|Kircor1_105568	Kircor1|Kircor1_372651	0.154124	2.964611	0.051988	223.918221	52.081779	0.966479	2.053407	330
Kircor1|Kircor1_105707	Kircor1|Kircor1_363650	0.619578	1.990427	0.311279	384.966590	131.033410	2.165334	2.903077	1143
Kircor1|Kircor1_105720	Kircor1|Kircor1_422996	0.530517	4.347984	0.122014	1218.587195	329.412805	1.404753	4.028609	1974
Kircor1|Kircor1_105909	Kircor1|Kircor1_474511	0.026294	0.813578	0.032319	629.112199	138.887801	1.153388	0.506008	768
Kircor1|Kircor1_106445	Kircor1|Kircor1_395839	0.484885	99.000000	0.004898	1227.459799	209.540201	0.673428	44.550432	1776
Kircor1|Kircor1_106619	Kircor1|Kircor1_381574	0.197766	1.414484	0.139815	723.584862	236.415138	2.521619	1.492207	1002
Kircor1|Kircor1_106801	Kircor1|Kircor1_265533	0.283635	1.475521	0.192227	507.117554	158.882446	2.278228	1.703922	681
Kircor1|Kircor1_107082	Kircor1|Kircor1_295450	0.265144	3.822433	0.069365	376.754357	112.245643	1.748738	3.245065	903
Kircor1|Kircor1_107087	Kircor1|Kircor1_450115	0.160795	1.754598	0.091642	2505.670311	734.329689	1.684072	1.566068	3582
Kircor1|Kircor1_107184	Kircor1|Kircor1_429941	0.748479	3.081353	0.242906	1264.479342	376.520658	1.346231	3.851240	2169
Kircor1|Kircor1_107612	Kircor1|Kircor1_392757	0.291173	4.451369	0.065412	1292.899966	378.100034	1.127090	3.697524	1815
Kircor1|Kircor1_108212	Kircor1|Kircor1_407013	0.244182	2.324823	0.105032	7588.732737	2437.267263	2.048793	2.249923	10440
Kircor1|Kircor1_108378	Kircor1|Kircor1_400810	0.254002	2.703491	0.093953	355.404758	103.595242	1.325940	2.420537	915
Kircor1|Kircor1_108419	Kircor1|Kircor1_423813	0.248210	0.480259	0.516825	935.828528	318.171472	2.830456	0.921260	2247
Kircor1|Kircor1_108725	Kircor1|Kircor1_275039	0.213807	2.266309	0.094342	505.336278	127.663722	1.454670	1.883271	933
Kircor1|Kircor1_108754	Kircor1|Kircor1_408610	0.158696	0.290744	0.545827	316.632756	106.367244	3.407070	0.575702	1809
Kircor1|Kircor1_108755	Kircor1|Kircor1_1251	0.250570	0.767209	0.326599	303.233137	92.766863	2.303591	1.114794	6828
Kircor1|Kircor1_109224	Kircor1|Kircor1_276172	0.140341	2.020896	0.069445	912.270272	260.729728	1.369083	1.675031	1182
Kircor1|Kircor1_109409	Kircor1|Kircor1_335162	0.012828	0.021043	0.609616	1181.503393	435.496607	9.061469	0.045122	3636
Kircor1|Kircor1_109570	Kircor1|Kircor1_403918	0.222903	2.436222	0.091495	560.718578	150.281422	1.412467	2.072173	744
Kircor1|Kircor1_109802	Kircor1|Kircor1_379400	0.009093	0.016677	0.545234	221.368586	60.631414	1.781250	0.032171	552
Kircor1|Kircor1_109895	Kircor1|Kircor1_84343	0.503627	1.548426	0.325251	1647.413325	533.586675	1.678632	2.277719	2739
Kircor1|Kircor1_109990	Kircor1|Kircor1_370999	0.077341	1.068900	0.072356	250.272846	97.727154	3.719303	1.067387	1755
Kircor1|Kircor1_110128	Kircor1|Kircor1_79508	0.153761	2.048612	0.075056	1240.610725	340.389275	1.363639	1.685167	1611
Kircor1|Kircor1_110321	Kircor1|Kircor1_372904	0.247719	0.666765	0.371523	427.561422	157.438578	2.751525	1.081484	843
