SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Umbsp|Umbsp_AD052_1_100320	Umbsp|Umbsp_AD052_1_337647	0.474866	5.115022	0.092837	3454.988347	916.011653	1.060766	4.341849	5028
Umbsp|Umbsp_AD052_1_100333	Umbsp|Umbsp_AD052_1_383865	0.698478	1.898336	0.367943	1220.182862	339.817138	1.186781	2.879535	1683
Umbsp|Umbsp_AD052_1_100436	Umbsp|Umbsp_AD052_1_364475	0.269808	2.236562	0.120635	1120.525838	364.474162	1.779458	2.257568	1488
Umbsp|Umbsp_AD052_1_100810	Umbsp|Umbsp_AD052_1_361724	0.465518	2.620211	0.177664	5845.633628	1975.366372	1.710139	3.029200	8007
Umbsp|Umbsp_AD052_1_10251	Umbsp|Umbsp_AD052_1_273507	0.474705	3.385961	0.140198	352.657619	91.342381	1.341231	3.220878	498
Umbsp|Umbsp_AD052_1_102740	Umbsp|Umbsp_AD052_1_359875	0.522941	4.433313	0.117957	1307.893962	369.106038	0.913479	4.150829	1980
Umbsp|Umbsp_AD052_1_102807	Umbsp|Umbsp_AD052_1_326665	0.930603	4.723559	0.197013	1904.473175	543.526825	1.155485	5.318246	4047
Umbsp|Umbsp_AD052_1_104043	Umbsp|Umbsp_AD052_1_332776	0.215230	2.078728	0.103539	863.123166	276.876834	1.466333	2.003478	1413
Umbsp|Umbsp_AD052_1_104297	Umbsp|Umbsp_AD052_1_135027	0.702661	4.229156	0.166147	933.853697	281.146303	0.900866	4.556034	1674
Umbsp|Umbsp_AD052_1_104571	Umbsp|Umbsp_AD052_1_328577	0.185877	4.205550	0.044198	1026.564848	272.435152	1.249014	3.086731	1368
Umbsp|Umbsp_AD052_1_104904	Umbsp|Umbsp_AD052_1_287032	0.415072	4.302957	0.096462	1045.781809	310.218191	1.221414	3.913562	1416
Umbsp|Umbsp_AD052_1_104937	Umbsp|Umbsp_AD052_1_330722	0.778857	3.904971	0.199453	567.522403	182.477597	1.043747	4.618354	1137
Umbsp|Umbsp_AD052_1_106637	Umbsp|Umbsp_AD052_1_315059	0.722155	4.501619	0.160421	1338.699360	404.300640	1.105004	4.796482	2148
Umbsp|Umbsp_AD052_1_106671	Umbsp|Umbsp_AD052_1_317655	0.846502	4.221527	0.200520	975.699081	278.300919	1.222828	4.786571	2685
Umbsp|Umbsp_AD052_1_107521	Umbsp|Umbsp_AD052_1_315839	0.751451	3.844343	0.195469	2167.625992	661.374008	1.464120	4.423556	3252
Umbsp|Umbsp_AD052_1_107960	Umbsp|Umbsp_AD052_1_319798	0.850711	4.284018	0.198578	1110.517217	302.482783	1.188656	4.757050	3621
Umbsp|Umbsp_AD052_1_109716	Umbsp|Umbsp_AD052_1_339346	0.145391	3.052233	0.047634	764.168006	237.831994	1.337297	2.506055	1002
Umbsp|Umbsp_AD052_1_112164	Umbsp|Umbsp_AD052_1_43394	0.323863	1.730267	0.187175	980.183019	321.816981	1.756524	2.014456	1746
Umbsp|Umbsp_AD052_1_113088	Umbsp|Umbsp_AD052_1_341534	0.493917	4.131995	0.119535	803.015360	246.984640	1.532487	4.049035	1587
Umbsp|Umbsp_AD052_1_113645	Umbsp|Umbsp_AD052_1_319110	0.706386	2.299747	0.307158	1655.118151	495.881849	1.296282	3.221136	2544
Umbsp|Umbsp_AD052_1_114170	Umbsp|Umbsp_AD052_1_154161	0.581944	1.590608	0.365863	267.702953	80.297047	1.712220	2.444044	432
Umbsp|Umbsp_AD052_1_115181	Umbsp|Umbsp_AD052_1_275602	0.642726	1.913301	0.335925	981.930637	290.069363	1.763448	2.797412	1848
Umbsp|Umbsp_AD052_1_115315	Umbsp|Umbsp_AD052_1_379606	0.913272	1.910824	0.477947	1390.453991	448.546009	1.531076	3.469747	2958
Umbsp|Umbsp_AD052_1_115342	Umbsp|Umbsp_AD052_1_320567	0.459503	4.092124	0.112290	879.799301	281.200699	1.767225	4.018033	1320
Umbsp|Umbsp_AD052_1_115613	Umbsp|Umbsp_AD052_1_375566	0.547934	2.620201	0.209119	1226.752360	432.247640	1.476760	3.263571	1701
Umbsp|Umbsp_AD052_1_116953	Umbsp|Umbsp_AD052_1_274994	0.890815	2.272789	0.391948	1318.660323	430.339677	1.341492	3.692544	2133
Umbsp|Umbsp_AD052_1_118449	Umbsp|Umbsp_AD052_1_310148	0.596817	2.793957	0.213610	525.359164	155.640836	1.640321	3.296903	1551
Umbsp|Umbsp_AD052_1_119265	Umbsp|Umbsp_AD052_1_91513	0.900337	4.608448	0.195367	1573.807884	466.192116	1.284128	5.243206	2298
Umbsp|Umbsp_AD052_1_119812	Umbsp|Umbsp_AD052_1_325094	0.309755	3.651140	0.084838	391.915152	130.084848	1.662954	3.427333	570
Umbsp|Umbsp_AD052_1_120094	Umbsp|Umbsp_AD052_1_315489	0.368461	2.043779	0.180284	405.281149	134.718851	1.536176	2.359255	546
Umbsp|Umbsp_AD052_1_120146	Umbsp|Umbsp_AD052_1_325250	0.426860	3.694271	0.115546	531.214965	137.785035	1.063557	3.299415	699
