SEQ1	SEQ2	dN	dS	OMEGA	N	S	kappa	t	LENGTH
Synps1|Synps1_10007	Synps1|Synps1_14198	0.467245	3.647492	0.128100	587.546421	129.453579	0.838682	3.124304	879
Synps1|Synps1_10050	Synps1|Synps1_15417	0.341476	3.137095	0.108851	351.451284	65.548716	1.573395	2.342767	633
Synps1|Synps1_10091	Synps1|Synps1_22637	0.526120	99.000000	0.005314	821.015592	84.984408	1.324621	29.289433	1233
Synps1|Synps1_10118	Synps1|Synps1_20095	0.535071	3.545099	0.150933	646.066560	112.933440	1.551728	2.948820	990
Synps1|Synps1_10140	Synps1|Synps1_9727	0.000000	0.000000	99.000000	290.712190	57.287810	4.600000	0.000000	348
Synps1|Synps1_10146	Synps1|Synps1_9257	0.501656	3.085945	0.162561	580.772653	61.227347	0.995192	2.244356	843
Synps1|Synps1_10147	Synps1|Synps1_4971	0.000000	0.000000	99.000000	316.469890	112.530110	4.600000	0.000000	429
Synps1|Synps1_10169	Synps1|Synps1_14443	0.324789	3.596747	0.090301	725.015543	120.984457	1.720233	2.378111	1272
Synps1|Synps1_10179	Synps1|Synps1_4782	0.685500	4.227388	0.162157	1006.515914	280.484086	1.581143	4.372218	1566
Synps1|Synps1_10200	Synps1|Synps1_16930	0.163335	0.590084	0.276799	1088.436664	231.563336	1.867686	0.714594	1617
Synps1|Synps1_10216	Synps1|Synps1_10696	0.350336	2.065726	0.169595	286.163249	64.836751	1.640063	2.001608	378
Synps1|Synps1_10229	Synps1|Synps1_4637	0.000000	0.000000	99.000000	528.829274	149.170726	4.600000	0.000000	678
Synps1|Synps1_10230	Synps1|Synps1_14662	0.413989	3.637671	0.113806	799.230418	127.769582	1.288894	2.574939	1047
Synps1|Synps1_10243	Synps1|Synps1_19266	0.558471	2.065296	0.270407	417.281684	110.718316	1.524275	2.623329	1632
Synps1|Synps1_10332	Synps1|Synps1_6773	0.000000	0.000000	99.000000	227.761017	51.238983	4.600000	0.000000	279
Synps1|Synps1_10393	Synps1|Synps1_15735	0.670741	2.810873	0.238624	342.677347	89.322653	0.972900	3.339738	600
Synps1|Synps1_10434	Synps1|Synps1_15177	0.580549	3.478280	0.166907	508.692861	103.307139	0.837763	3.209080	756
Synps1|Synps1_10453	Synps1|Synps1_6452	0.013632	0.048929	0.278616	296.664301	63.335699	5.505073	0.059526	360
Synps1|Synps1_10464	Synps1|Synps1_5472	0.000000	0.000000	99.000000	584.943631	171.056369	4.600000	0.000000	762
Synps1|Synps1_10552	Synps1|Synps1_9309	0.565390	3.536829	0.159858	479.305068	111.694932	1.077395	3.380915	873
Synps1|Synps1_10566	Synps1|Synps1_1539	0.735226	3.105538	0.236747	279.152142	62.847858	1.271259	3.512424	369
Synps1|Synps1_10642	Synps1|Synps1_32528	0.381353	4.015454	0.094971	970.560619	211.439381	1.218340	3.094292	1842
Synps1|Synps1_10659	Synps1|Synps1_7146	0.593516	3.035470	0.195527	267.315850	83.684150	1.140660	3.527155	423
Synps1|Synps1_10674	Synps1|Synps1_5223	0.522211	3.523382	0.148213	454.289744	109.710256	1.347396	3.318013	693
Synps1|Synps1_10726	Synps1|Synps1_29288	0.473366	3.458606	0.136866	367.367552	100.632448	2.931054	3.345817	1530
Synps1|Synps1_10727	Synps1|Synps1_4501	0.000000	0.000000	99.000000	455.873465	63.126535	4.600000	0.000000	519
Synps1|Synps1_10764	Synps1|Synps1_2143	0.000000	0.061768	0.000010	705.325459	170.674541	1.543370	0.036103	876
Synps1|Synps1_10830	Synps1|Synps1_13091	0.645434	4.056025	0.159130	1453.807834	223.192166	1.563547	3.298051	4698
Synps1|Synps1_10844	Synps1|Synps1_25600	0.000000	0.000000	99.000000	168.637443	65.362557	4.600000	0.000000	660
Synps1|Synps1_10919	Synps1|Synps1_23861	0.235518	1.442361	0.163286	788.420551	207.579449	2.951308	1.461119	1074
